RPM,Efficiency,Power,Torque,Current
0,0,0,9.4,476.1
100,1.7,96.3,9.2,467.9
200,3.4,189.3,9,459.8
300,5.1,278.8,8.9,451.6
400,6.9,365,8.7,443.4
500,8.6,447.8,8.6,435.2
600,10.3,527.2,8.4,427.1
700,12,603.2,8.2,418.9
800,13.7,675.8,8.1,410.7
900,15.4,745,7.9,402.6
1000,17.1,810.9,7.7,394.4
1100,18.8,873.3,7.6,386.2
1200,20.6,932.4,7.4,378.1
1300,22.3,988,7.3,369.9
1400,24,1040.3,7.1,361.7
1500,25.7,1089.2,6.9,353.5
1600,27.4,1134.7,6.8,345.4
1700,29.1,1176.8,6.6,337.2
1800,30.8,1215.5,6.4,329
1900,32.5,1250.8,6.3,320.9
2000,34.2,1282.8,6.1,312.7
2100,35.9,1311.3,6,304.5
2200,37.6,1336.5,5.8,296.4
2300,39.3,1358.3,5.6,288.2
2400,41,1376.6,5.5,280
2500,42.7,1391.6,5.3,271.8
2600,44.3,1403.2,5.2,263.7
2700,46,1411.5,5,255.5
2800,47.7,1416.3,4.8,247.3
2900,49.4,1417.7,4.7,239.2
3000,51.1,1415.8,4.5,231
3100,52.7,1410.4,4.3,222.8
3200,54.4,1401.7,4.2,214.7
3300,56.1,1389.6,4,206.5
3400,57.7,1374,3.9,198.3
3500,59.4,1355.1,3.7,190.2
3600,61,1332.9,3.5,182
3700,62.7,1307.2,3.4,173.8
3800,64.3,1278.1,3.2,165.6
3900,65.9,1245.6,3.1,157.5
4000,67.5,1209.8,2.9,149.3
4100,69.1,1170.6,2.7,141.1
4200,70.7,1127.9,2.6,133
4300,72.2,1081.9,2.4,124.8
4400,73.8,1032.5,2.2,116.6
4500,75.3,979.7,2.1,108.5
4600,76.7,923.5,1.9,100.3
4700,78.2,863.9,1.8,92.1
4800,79.5,801,1.6,83.9
4900,80.8,734.6,1.4,75.8
5000,82,664.9,1.3,67.6
5100,83,591.7,1.1,59.4
5200,83.8,515.2,0.9,51.3
5300,84.2,435.3,0.8,43.1
5400,84,352,0.6,34.9
5500,82.6,265.3,0.5,26.8
5600,78.6,175.2,0.3,18.6
5700,65.4,81.8,0.1,10.4
